TIME,,MILLIS,EULERX,EULERY,EULERZ,latitude (degrees),longitude (degrees),ALT,COURSE,SPEED,NUM SATS,VEL DIFF,TEMP,HUMIDITY,ATM DIFF,PRESSURE,altitude (meters),TEMP
21525300,,1710664,150.125,-4.8125,-25.6875,39.695629,-75.768044,183.8,0,0,3,36.76,64.891,69.9315,-4.3996,0.99,46.44,18.5
21525300,,1712634,152.625,-7.1875,-20.25,39.695629,-75.768044,183.8,0,0,3,36.76,64.9296,69.9773,-4.3996,0.99,46.38,18.5
21525700,,1714607,156.5,-4.5,-11.0625,39.695717,-75.768127,183.8,0,0,3,36.76,64.9296,70.0078,-4.3996,0.99,46.56,18.5
21530021,,1716588,146.375,-3.875,-10.125,39.69569,-75.768127,183.8,18.7,0.28,3,36.76,64.9489,70.0155,-4.3996,0.99,46.63,18.56
21530021,,1718557,140.625,-4.6875,-3.9375,39.69569,-75.768127,183.8,18.7,0.28,3,36.76,64.9683,70.0078,-4.3996,0.99,46.44,18.56
21530021,,1720531,139.375,-7.25,-5.5,39.69569,-75.768127,183.8,18.7,0.28,3,0,64.9876,69.9773,-4.3996,0.99,46.44,18.56
21530021,,1722504,139.6875,-5.875,-7,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.0262,69.9392,-4.3996,0.99,46.56,18.56
21530021,,1724475,140.5,-6,-6.625,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.0455,69.8934,-4.3996,0.99,46.56,18.56
21530021,,1726448,138.5,-6.1875,-7.5,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.0455,69.8553,-4.3996,0.99,46.56,18.56
21530021,,1728428,132.875,-10.8125,-7.0625,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.0455,69.84,-4.3996,0.99,46.25,18.63
21530021,,1730399,129.375,-7.1875,-15.8125,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.0648,69.8476,-4.3996,0.99,46.69,18.63
21530021,,1732370,150.25,-7.5,-15.5625,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.1034,69.8934,-4.3996,0.99,46.19,18.63
21530021,,1734344,150.9375,-6.875,-16.4375,39.69569,-75.768127,183.8,18.7,0.28,3,0,65.1227,69.9621,-4.3996,0.99,46.38,18.63
